Trail Name,Trail Type,Distance_miles,High_Point_feet,Elevation_feet,Difficulty,Seasons,Family Friendly,Backpackable,Crowded
Ainsworth Loop Hike,Loop,0.5,150.0,85.0,Easy,All year,Yes,No,No
Aldrich Butte Hike,Out and Back,13.8,,2405.0,Moderate,All Season,No,No,No
Aldrich Butte-Cedar Falls Loop Hike,Lollipop loop,16.4,1.0,3105.0,Difficult,Year round,No,No,No
Angels Rest Hike,Out and Back,4.8,1640.0,1475.0,Moderate,All Season,Yes,No,Yes
Angels Rest-Devils Rest Loop Hike,Loop,10.8,2435.0,3040.0,Moderate,All Season,Yes,No,Yes
Archer Mountain Loop Hike,Lollipop loop,6.3,2.0,1.0,Moderate,Spring through fall,No,No,No
Augspurger Mountain Hike,Out-and-back,12.6,3.0,4767.0,Difficult,Spring through fall; snowshoe in winter,No,No,No
Balfour-Klickitat Loop Hike,Loop,0.7,220.0,115.0,Easy,All year,Yes,No,No
Beacon Rock Hike,Out and Back,1.8,,680.0,Moderate,"Year round, except during ice storms",Yes,No,Yes
Bear Lake Hike,In and out,2.6,4100.0,480.0,Easy,Summer/Fall,Yes,Yes,No
Bell Creek Loop Hike,Dogbone (Out to a loop and back),17.0,,3330.0,Difficult,May-Oct,No,Yes,Crowded to Triple Falls
Benson Plateau Loop Hike,Lollipop loop,16.4,4095.0,4030.0,Difficult,Late May into October,No,Yes,Yes
Bridal Veil Falls Hike,In and out + universal access loop,1.4,230.0,205.0,Easy,All year,Yes,No,Yes
Buck Creek on Larch Mountain Hike,In and out,1.8,1.0,310.0,Easy,"All year, except during winter snows",Yes,No,No
Buck Point Hike,Out and back,1.8,710.0,600.0,Easy,Year-round,Yes,No,No
Camp Benson Falls Hike,Out and back,4.9,460.0,430.0,Easy,All year,Yes,No,No
Cape Horn Loop Hike,Loop,7.4,1.0,1230.0,Moderate,July 16th to January 31st for the loop,No,No,Yes
Cape Horn Overlooks Hike,In and out,5.2,1.0,1185.0,Moderate,All year,Yes,No,Yes
